"province_index","province","Ktarget_2018_MU","HJB_converged","HJB_iterations","HJB_statistic","HJB_classification","KFE_classification","At_initial","Bt_initial","Lt_initial","Ct_initial","N_NU","At_times_N_beta1_preallocation","Kt_supply_initial_MU_beta1","private_K_over_target_beta1","GovInv0_G0_MU","firm_K_accounting_G0_MU","firm_K_G0_over_target","GovInv0_G1_residual_MU","firm_K_accounting_G1_MU","firm_K_G1_over_target","beta_a_star","G1_binding_status","asset_bridge_validity","overall_validity","inter_province_productive_contribution_beta1"
"0","北京","58719043.066994764","True","17","8.547302199346518e-09","HJB_CONVERGED","DIAGNOSTIC_ONLY","7.2814135433904825","4.6948401791657695","0.6639444000102773","10.832654252332844","219200.0","1596085.8487111938","213805.18523752742","0.003641155817093086","58719043.066994764","58932848.25223229","1.003641155817093","58505237.88175724","58719043.066994764","1.0","274.6380683039127","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","218921.565734204"
"1","天津","64593598.72309723","True","27","3.770028733640629e-11","HJB_CONVERGED","DIAGNOSTIC_ONLY","7.27985472108661","4.700013574015612","0.674477675724933","11.103693258342576","138300.0","1006803.9079262782","211034.53168273813","0.003267112157466416","64593598.72309723","64804633.254779965","1.0032671121574663","64382564.19141449","64593598.72309723","1.0","306.08070730436174","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","302041.172377883"
"2","河北","113705229.18254791","True","35","2.8269918406209626e-08","HJB_CONVERGED","DIAGNOSTIC_ONLY","7.285540421362414","4.689053727683108","0.6601134967866474","10.558430329101128","742600.0","5410242.316903729","213287.10621640403","0.0018757897745756487","113705229.18254791","113918516.28876431","1.0018757897745756","113491942.07633151","113705229.18254791","1.0","533.1087809273432","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","234463.936367906"
"3","山西","53478727.38884524","True","49","2.10115258525434e-10","HJB_CONVERGED","DIAGNOSTIC_ONLY","7.284866502416373","4.689527842212533","0.6596120927891331","10.597839877871897","350200.0","2551160.2491462138","217445.6554917545","0.004066021502544393","53478727.38884524","53696173.044337","1.0040660215025443","53261281.73335349","53478727.38884524","1.0","245.9406570708567","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","109707.458107392"
"4","内蒙古","82165502.99427319","True","26","4.778821782736031e-11","HJB_CONVERGED","DIAGNOSTIC_ONLY","7.290695301981074","4.694635423943938","0.6719414867687957","10.616873173331285","242200.0","1765806.4021398162","209594.86340788676","0.0025508863911232337","82165502.99427319","82375097.85768107","1.0025508863911232","81955908.1308653","82165502.99427319","1.0","392.0205946763742","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","345231.220623424"
"5","辽宁","90061052.78222083","True","15","4.6158866284784494e-08","HJB_CONVERGED","DIAGNOSTIC_ONLY","7.2972863401635415","4.682902434745981","0.6713203024088547","9.949935463621017","429100.0","3131265.5685641756","211735.20840679316","0.002351018579793821","90061052.78222083","90272787.99062762","1.0023510185797937","89849317.57381403","90061052.78222083","1.0","425.3475530115537","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","281020.870656233"
"6","吉林","66308917.7271201","True","15","3.5706573253690976e-09","HJB_CONVERGED","DIAGNOSTIC_ONLY","7.306324473833281","4.681257646550685","0.6791781246847705","9.665849490645694","248400.0","1814890.999300187","212851.0285043764","0.003209990990658578","66308917.7271201","66521768.75562448","1.0032099909906587","66096066.69861572","66308917.7271201","1.0","311.5273540985344","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","247546.267728735"
"7","黑龙江","58424879.89838116","True","13","7.462075846120797e-09","HJB_CONVERGED","DIAGNOSTIC_ONLY","7.319571303590979","4.668183103556843","0.6836297374851197","8.926366475532","332700.0","2435221.3727047187","216092.14282312893","0.003698632212834321","58424879.89838116","58640972.04120429","1.0036986322128343","58208787.75555803","58424879.89838116","1.0","270.3702186256806","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","150312.83816616"
"8","上海","66125294.30800852","True","18","3.760773470418144e-09","HJB_CONVERGED","DIAGNOSTIC_ONLY","7.284165435653269","4.69322945058422","0.6656559065380905","10.689503573854708","247500.0","1802830.9453241841","212894.61965239004","0.0032195640394542045","66125294.30800852","66338188.92766091","1.0032195640394541","65912399.68835613","66125294.30800852","1.0","310.60105894633006","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","246238.533288326"
"9","江苏","203535217.25929242","True","17","4.77480961436072e-08","HJB_CONVERGED","DIAGNOSTIC_ONLY","7.281748896323775","4.693511506563083","0.6628712791095902","10.772692990875354","844600.0","6150165.11783506","197491.38772618957","0.0009703057307993861","203535217.25929242","203732708.6470186","1.0009703057307995","203337725.87156624","203535217.25929242","1.0","1030.6030030103504","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","708335.49107434"
"10","浙江","124249656.20818298","True","15","8.606957369039492e-10","HJB_CONVERGED","DIAGNOSTIC_ONLY","7.284992506847101","4.690135987510018","0.6626729326407825","10.56692116715283","627300.0","4569875.799545187","208902.70510419522","0.0016813141499093908","124249656.20818298","124458558.91328718","1.0016813141499095","124040753.50307877","124249656.20818298","1.0","594.7728448332466","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","365995.969734171"
