year,current_workbook_value,current_workbook_unit,purchased_province_value,purchased_city_sum_candidate,purchased_unit,anhui_city_rows,distinct_cities,duplicate_city_keys,missing_investment,growth_field_present,purchased_observation_status,aggregation_status,province_total_present,province_residual_or_direct_admin_coverage,boundary_reconciliation,unit_scope_comparability,2011_definition_break_status,accepted_for_candidate_chain,caveat
2000,8666667,万元,,,万元,16,16,0,0,0,YEARBOOK_SOURCED_PER_GENERIC_NOTE,PROHIBITED_UNPROVEN_SIX_CONDITIONS,FALSE,UNPROVEN,UNPROVEN,UNPROVEN,PRE_BREAK,FALSE,No city sum computed; generic source note lacks cell/year citations and does not prove province additivity.
2001,6594000,万元,,,万元,16,16,0,0,0,YEARBOOK_SOURCED_PER_GENERIC_NOTE,PROHIBITED_UNPROVEN_SIX_CONDITIONS,FALSE,UNPROVEN,UNPROVEN,UNPROVEN,PRE_BREAK,FALSE,No city sum computed; generic source note lacks cell/year citations and does not prove province additivity.
2002,11333146,万元,,,万元,16,16,0,0,0,YEARBOOK_SOURCED_PER_GENERIC_NOTE,PROHIBITED_UNPROVEN_SIX_CONDITIONS,FALSE,UNPROVEN,UNPROVEN,UNPROVEN,PRE_BREAK,FALSE,No city sum computed; generic source note lacks cell/year citations and does not prove province additivity.
2003,14777162,万元,,,万元,16,16,0,0,0,YEARBOOK_SOURCED_PER_GENERIC_NOTE,PROHIBITED_UNPROVEN_SIX_CONDITIONS,FALSE,UNPROVEN,UNPROVEN,UNPROVEN,PRE_BREAK,FALSE,No city sum computed; generic source note lacks cell/year citations and does not prove province additivity.
2004,19353000,万元,,,万元,16,16,0,0,0,YEARBOOK_SOURCED_PER_GENERIC_NOTE,PROHIBITED_UNPROVEN_SIX_CONDITIONS,FALSE,UNPROVEN,UNPROVEN,UNPROVEN,PRE_BREAK,FALSE,No city sum computed; generic source note lacks cell/year citations and does not prove province additivity.
2005,21400300,万元,,,万元,16,16,0,0,0,YEARBOOK_SOURCED_PER_GENERIC_NOTE,PROHIBITED_UNPROVEN_SIX_CONDITIONS,FALSE,UNPROVEN,UNPROVEN,UNPROVEN,PRE_BREAK,FALSE,No city sum computed; generic source note lacks cell/year citations and does not prove province additivity.
2006,35336000,万元,,,万元,16,16,0,0,0,YEARBOOK_SOURCED_PER_GENERIC_NOTE,PROHIBITED_UNPROVEN_SIX_CONDITIONS,FALSE,UNPROVEN,UNPROVEN,UNPROVEN,PRE_BREAK,FALSE,No city sum computed; generic source note lacks cell/year citations and does not prove province additivity.
2007,50875000,万元,,,万元,16,16,0,0,0,YEARBOOK_SOURCED_PER_GENERIC_NOTE,PROHIBITED_UNPROVEN_SIX_CONDITIONS,FALSE,UNPROVEN,UNPROVEN,UNPROVEN,PRE_BREAK,FALSE,No city sum computed; generic source note lacks cell/year citations and does not prove province additivity.
2008,67350000,万元,,,万元,16,16,0,0,0,YEARBOOK_SOURCED_PER_GENERIC_NOTE,PROHIBITED_UNPROVEN_SIX_CONDITIONS,FALSE,UNPROVEN,UNPROVEN,UNPROVEN,PRE_BREAK,FALSE,No city sum computed; generic source note lacks cell/year citations and does not prove province additivity.
2009,89858000,万元,,,万元,16,16,0,0,0,YEARBOOK_SOURCED_PER_GENERIC_NOTE,PROHIBITED_UNPROVEN_SIX_CONDITIONS,FALSE,UNPROVEN,UNPROVEN,UNPROVEN,PRE_BREAK,FALSE,No city sum computed; generic source note lacks cell/year citations and does not prove province additivity.
2010,111043500,万元,,,万元,16,16,0,0,0,YEARBOOK_SOURCED_PER_GENERIC_NOTE,PROHIBITED_UNPROVEN_SIX_CONDITIONS,FALSE,UNPROVEN,UNPROVEN,UNPROVEN,PRE_BREAK,FALSE,No city sum computed; generic source note lacks cell/year citations and does not prove province additivity.
2011,124557000,万元,,,万元,16,16,0,0,0,YEARBOOK_SOURCED_PER_GENERIC_NOTE,PROHIBITED_UNPROVEN_SIX_CONDITIONS,FALSE,UNPROVEN,UNPROVEN,UNPROVEN,STATISTICAL_DEFINITION_BREAK,FALSE,No city sum computed; generic source note lacks cell/year citations and does not prove province additivity.
2012,150550000,万元,,,万元,16,16,0,0,0,YEARBOOK_SOURCED_PER_GENERIC_NOTE,PROHIBITED_UNPROVEN_SIX_CONDITIONS,FALSE,UNPROVEN,UNPROVEN,UNPROVEN,STATISTICAL_DEFINITION_BREAK,FALSE,No city sum computed; generic source note lacks cell/year citations and does not prove province additivity.
2013,180908900,万元,,,万元,16,16,0,0,0,YEARBOOK_SOURCED_PER_GENERIC_NOTE,PROHIBITED_UNPROVEN_SIX_CONDITIONS,FALSE,UNPROVEN,UNPROVEN,UNPROVEN,STATISTICAL_DEFINITION_BREAK,FALSE,No city sum computed; generic source note lacks cell/year citations and does not prove province additivity.
2014,218756000,万元,,,万元,16,16,0,0,0,YEARBOOK_SOURCED_PER_GENERIC_NOTE,PROHIBITED_UNPROVEN_SIX_CONDITIONS,FALSE,UNPROVEN,UNPROVEN,UNPROVEN,STATISTICAL_DEFINITION_BREAK,FALSE,No city sum computed; generic source note lacks cell/year citations and does not prove province additivity.
2015,238039300,万元,,,万元,16,16,0,0,0,YEARBOOK_SOURCED_PER_GENERIC_NOTE,PROHIBITED_UNPROVEN_SIX_CONDITIONS,FALSE,UNPROVEN,UNPROVEN,UNPROVEN,STATISTICAL_DEFINITION_BREAK,FALSE,No city sum computed; generic source note lacks cell/year citations and does not prove province additivity.
2016,267581000,万元,,,万元,16,16,0,0,0,YEARBOOK_SOURCED_PER_GENERIC_NOTE,PROHIBITED_UNPROVEN_SIX_CONDITIONS,FALSE,UNPROVEN,UNPROVEN,UNPROVEN,STATISTICAL_DEFINITION_BREAK,FALSE,No city sum computed; generic source note lacks cell/year citations and does not prove province additivity.
2017,292751000,万元,,,万元,16,16,0,0,16,GROWTH_DERIVED_PER_DATASET_DOCUMENTATION,PROHIBITED_UNPROVEN_SIX_CONDITIONS,FALSE,UNPROVEN,UNPROVEN,UNPROVEN,STATISTICAL_DEFINITION_BREAK,FALSE,No city sum computed; generic source note lacks cell/year citations and does not prove province additivity.
