relative_path,extension,size_bytes,mtime,sha256,sheet_or_table,dimensions,geographic_level,year_coverage,candidate_variables,readme_or_dictionary,source_quality,provenance_notes,missing_or_imputation_notes
中国各地级市全要素生产率数据（1978-2022年）\中国各地级市全要素生产率（1978-2022年）.xlsx,.xlsx,2182260,2026-06-08T14:55:15.307222+08:00,704E01C4E61459D9ADE830337FD213A32A4A76889B540C50DC4EEA8B8160A2AC,Sheet1,18951x17,PREFECTURE_CITY,1978-2022,11 TFP variants,计算方法.docx,DERIVED_RESEARCH_DATASET,实际GDP; PIM资本; 就业; 9.6%折旧; 已平减; 起始年基期但具体基年未披露,none documented in 2009-2018 Anhui slice
中国各地级市全要素生产率数据（1978-2022年）\计算方法.docx,.docx,17218,2026-06-08T14:55:12.591735+08:00,B89746E85F551AE680363E6CAEC71FF7188AA55B8FFD4F54706DFA3F592D1D42,document,16 text paragraphs,UNKNOWN,1978-2022,methodology and provenance,self,DERIVED_RESEARCH_DATASET,中国城市统计年鉴及各省市统计年鉴,no cell-level citations
中国各地级市全要素生产率数据（1978-2022年）\参考文献：产业集聚与地区间劳动生产率差异-范剑勇.pdf,.pdf,933404,2026-06-08T14:55:13.837920+08:00,E6FDA69A84EAD2D93C286E03DA194FB44EC8A68AD20D35E64A613A1B7D919A60,publication,reference PDF,UNKNOWN,,reference only,,NOT_RELEVANT_TO_CURRENT_GAP,reference publication is not the dataset lineage ledger,
sj479-地级市-固定资产投资额数据（2000-2024年）\地级市-固定资产投资额数据（2000-2024年）.xlsx,.xlsx,297042,2026-06-04T16:18:22.896037+08:00,F585291F03218040594E1D35ACBCD55EDB80658A1AECB0AAEFD6219EF124CB94,Sheet1;数据来源,7408x13;11x2,PREFECTURE_CITY,2000-2024,固定资产投资额(万元);增速,数据来源 sheet; 数据说明.png,PURCHASED_CURATED_PROVENANCE_PARTIAL,2000-2016 中国城市统计年鉴; after 2016 partly growth-derived from yearbooks/bulletins,growth-based imputation documented after 2016
sj479-地级市-固定资产投资额数据（2000-2024年）\数据说明.png,.png,213392,2026-06-04T16:18:24.073353+08:00,8E207E942B6E00B35A7B32F0E00FC41EE610EF674D8F8AA1CA07F0E929BBA22D,image,source note,UNKNOWN,2000-2024,investment source/method note,self,PURCHASED_CURATED_PROVENANCE_PARTIAL,generic sources and recurrence for missing values,no cell-level source ledger
NJ73-中国人口与就业统计年鉴1949-2023年\中国人口和就业统计年鉴1949-2023年\2007-2021中国人口与就业统计年鉴（Excel版）\2019中国人口和就业统计年鉴（EXCEL版本）.rar,.rar,1871848,2026-06-04T16:14:07.831607+08:00,916D3308BE961F50DC512CEF51505F8467D8A351D754EE7E2D3A9F78B73433EF,archive,210-entry package; audited table 47x31,PROVINCE,1990-2018,year-end population,official yearbook table 1-1,PURCHASED_CURATED_WITH_TRACEABLE_OFFICIAL_PROVENANCE,中国人口和就业统计年鉴2019; official publication local copy,annual sample estimates; usual-resident basis since 2005
NJ73-中国人口与就业统计年鉴1949-2023年\中国人口和就业统计年鉴1949-2023年\2007-2021中国人口与就业统计年鉴（Excel版）\2019中国人口和就业统计年鉴（EXCEL版本）(1).rar,.rar,1871848,2026-06-04T16:30:43.441370+08:00,916D3308BE961F50DC512CEF51505F8467D8A351D754EE7E2D3A9F78B73433EF,archive,byte-identical duplicate,PROVINCE,1990-2018,year-end population,duplicate of primary RAR,PURCHASED_CURATED_WITH_TRACEABLE_OFFICIAL_PROVENANCE,same SHA256 as primary,duplicate
NJ73-中国人口与就业统计年鉴1949-2023年\中国人口和就业统计年鉴1949-2023年\中国人口和就业统计年鉴2023（EXCEL完美版）\1-1 分地区年末人口数.xls,.xls,36864,2026-06-04T16:15:28.929478+08:00,835CACA049581E5D673D66FFF94406EFA0AC16FA18BCB4ABEFD7C6D382815CD4,Sheet1,51x35,PROVINCE,1990-2022,"year-end resident population (10,000 persons)",table note,PURCHASED_CURATED_WITH_TRACEABLE_OFFICIAL_PROVENANCE,中国人口和就业统计年鉴2023 official table local copy,2011-2019 revised using 2020 Census
NJ73-中国人口与就业统计年鉴1949-2023年\中国人口和就业统计年鉴1949-2023年\中国人口和就业统计年鉴2023（EXCEL完美版）\1-1 分地区年末人口数(1).xls,.xls,36864,2026-06-04T16:32:16.527528+08:00,835CACA049581E5D673D66FFF94406EFA0AC16FA18BCB4ABEFD7C6D382815CD4,Sheet1,byte-identical duplicate 51x35,PROVINCE,1990-2022,year-end resident population,duplicate,PURCHASED_CURATED_WITH_TRACEABLE_OFFICIAL_PROVENANCE,same SHA256 as primary 2023 table,duplicate
sj10-分省份按三次产业分从业人员数（就业人员数）1985-2024年数据\分省份按三次产业分从业人员数（就业人员数）1985-2024年数据.xlsx,.xlsx,309748,2026-06-04T16:07:14.577956+08:00,EE5846BC78566564EB183F29A0775072203429FB08881CD4585D46BBCDD9A671,panel and year sheets,1302x24 plus supporting sheets,PROVINCE,1985-2024,employment by sector,数据说明 sheet,NOT_RELEVANT_TO_CURRENT_GAP,employment is not resident population,not a population-level identity source
sj10-分省份按三次产业分从业人员数（就业人员数）1985-2024年数据\数据说明.png,.png,146649,2026-06-04T16:07:14.488644+08:00,799C98E673B504774221940BD367CF1F81055C30AB616E4B5EF1B52EC57F79B1,image,source note,UNKNOWN,1985-2024,employment documentation,,NOT_RELEVANT_TO_CURRENT_GAP,does not provide resident population identity,
sj363-298个地级市人口密度1998-2024年无缺失\298个地级市人口密度1998-2024年无缺失.xlsx,.xlsx,523391,2026-06-04T17:18:16.630881+08:00,C60B166F911A062AF84589EED32B03C7A7E8592CF7B68EEAB2205A97FA44DDE5,面板数据;数据说明,8056x20;11x1,PREFECTURE_CITY,1998-2024,city resident population; interpolated population; density,数据说明 sheet,NOT_RELEVANT_TO_CURRENT_GAP,generic city-yearbook/provincial-yearbook/bulletin provenance,city level; explicit interpolated field; no province total
sj363-298个地级市人口密度1998-2024年无缺失\298个地级市人口密度1998-2024年无缺失(1).xlsx,.xlsx,523391,2026-06-04T17:18:53.990857+08:00,C60B166F911A062AF84589EED32B03C7A7E8592CF7B68EEAB2205A97FA44DDE5,面板数据;数据说明,byte-identical duplicate 8056x20,PREFECTURE_CITY,1998-2024,same as primary,duplicate,NOT_RELEVANT_TO_CURRENT_GAP,same SHA256 as primary,duplicate
