province_index,province,corrected_GDP_raw_100m_yuan,corrected_Y0_MU,corrected_POP_raw_10k_persons,corrected_N0_NU,corrected_TrackA_K_raw_100m_yuan,corrected_K0_MU,alpha_used,corrected_Zt0,corrected_GovInv0_MU,rejected_historical_canonical_K,rejected_historical_canonical_GovInv,rejected_historical_canonical_Zt,rejected_to_corrected_K_ratio,rejected_to_corrected_GovInv_ratio,rejected_to_corrected_Zt_ratio,gdp_route,population_route,capital_route,money_unit,population_unit,GovInv0_rule_id,GovInv0_route_id,assertion_status
0,北京,33106.0,33106000.0,2192.0,219200.0,58719.04306699477,58719043.066994764,0.7380939146868483,2.437920774687262,58719043.066994764,537317983065.375,537317983065.375,0.0015949382639870576,9150.65973490625,9150.65973490625,0.000654220711578151,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
1,天津,13362.9,13362900.0,1383.0,138300.0,64593.598723097224,64593598.72309723,0.7380939146868483,1.034748432816036,64593598.72309723,679051452789.948,679051452789.948,0.0006512817940029328,10512.674107242989,10512.674107242989,0.0006294107566130731,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
2,河北,32494.6,32494600.0,7426.0,742600.0,113705.22918254792,113705229.18254791,0.7380939146868483,1.067338636199028,113705229.18254791,1692566739665.9175,1692566739665.9175,0.000531645825183819,14885.566405645148,14885.566405645148,0.000498104169710467,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
3,山西,15958.1,15958100.0,3502.0,350200.0,53478.72738884524,53478727.38884524,0.7380939146868483,1.1136984900932783,53478727.38884524,663511099837.9441,663511099837.9441,0.0006411700755120038,12407.009894112425,12407.009894112425,0.0005757124403197335,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
4,内蒙古,16140.8,16140800.0,2422.0,242200.0,82165.50299427319,82165502.99427319,0.7380939146868483,0.9036347315500086,82165502.99427319,892802329669.4608,892802329669.4608,0.0005606100998367917,10865.902320730487,10865.902320730487,0.0006203945911587249,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
5,辽宁,23510.5,23510500.0,4291.0,429100.0,90061.05278222082,90061052.78222083,0.7380939146868483,1.0589248653382726,90061052.78222083,1105264754694.1694,1105264754694.1694,0.0006080357566442692,12272.39434305572,12272.39434305572,0.0005742010378139838,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
6,吉林,11253.8,11253800.0,2484.0,248400.0,66308.9177271201,66308917.7271201,0.7380939146868483,0.7331983987589327,66308917.7271201,740712965919.6627,740712965919.6627,0.0004489797639331647,11170.638751304998,11170.638751304998,0.0006123578075090479,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
7,黑龙江,12846.5,12846500.0,3327.0,332700.0,58424.87989838116,58424879.89838116,0.7380939146868483,0.8512301435859188,58424879.89838116,654911264062.3204,654911264062.3204,0.0005274868982764897,11209.458456763841,11209.458456763841,0.0006196760091864016,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
8,上海,36011.8,36011800.0,2475.0,247500.0,66125.29430800852,66125294.30800852,0.7380939146868483,2.353254580746131,66125294.30800852,492773836983.48627,492773836983.48627,0.001970216149288438,7452.123157110936,7452.123157110936,0.0008372303470301774,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
9,江苏,93207.6,93207600.0,8446.0,844600.0,203535.21725929243,203535217.25929242,0.7380939146868483,1.9260565786278652,203535217.25929242,2690386204893.7324,2690386204893.7324,0.0010324350826082535,13218.283504551115,13218.283504551115,0.0005360356980498292,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
10,浙江,58002.8,58002800.0,6273.0,627300.0,124249.65620818298,124249656.20818298,0.7380939146868483,1.865111818631329,124249656.20818298,1591617942417.3977,1591617942417.3977,0.001038143964242912,12809.837797463259,12809.837797463259,0.000556612184788326,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
11,安徽,34010.9,34010900.0,6076.0,607600.0,70182.43335888097,70182433.35888097,0.7380939146868483,1.681124916844091,70182433.35888097,1357314108201.3684,1357314108201.3684,0.0006934644495858679,19339.79834042919,19339.79834042919,0.00041250025065816116,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
12,福建,38687.8,38687800.0,4104.0,410400.0,87795.53811850408,87795538.11850408,0.7380939146868483,1.7964378516260697,87795538.11850408,1141016390611.534,1141016390611.534,0.0009211005515816159,12996.2913271449,12996.2913271449,0.0005127372209107426,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
13,江西,22716.5,22716500.0,4513.0,451300.0,51050.04792908307,51050047.92908307,0.7380939146868483,1.5352442633792756,51050047.92908307,1005097857179.3013,1005097857179.3013,0.0006250709986865693,19688.48018665032,19688.48018665032,0.00040714758790936985,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
14,山东,66648.9,66648899.99999999,10077.0,1007700.0,210016.97307581102,210016973.07581103,0.7380939146868483,1.2849276420428595,210016973.07581103,2791796128048.5977,2791796128048.5977,0.0006937935055420465,13293.192865134892,13293.192865134892,0.0005399475292157382,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
15,河南,49935.9,49935900.0,9864.0,986400.0,168320.55601470312,168320556.01470312,0.7380939146868483,1.139914115532732,168320556.01470312,2007934973521.9033,2007934973521.9033,0.0006738778676648355,11929.232062104798,11929.232062104798,0.0005911654733303331,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
16,湖北,42022.0,42022000.0,5917.0,591700.0,101805.15366230691,101805153.6623069,0.7380939146868483,1.5894323920714784,101805153.6623069,1502025322195.634,1502025322195.634,0.0007970659999681263,14753.922254053383,14753.922254053383,0.0005014783918737963,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
17,湖南,36329.7,36329700.0,6635.0,663500.0,93791.80714892803,93791807.14892803,0.7380939146868483,1.4167063570694212,93791807.14892803,1332351833795.125,1332351833795.125,0.0007385222456866581,14205.418088165634,14205.418088165634,0.0005212952154844246,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
18,广东,99945.2,99945200.0,12348.0,1234800.0,191259.40686816652,191259406.86816654,0.7380939146868483,1.9575836150085797,191259406.86816654,1838097009407.5686,1838097009407.5686,0.0013615640220957625,9610.492051115441,9610.492051115441,0.0006955330089896543,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
19,广西,19627.8,19627800.0,4947.0,494700.0,67306.70883876627,67306708.83876626,0.7380939146868483,1.0559578674063324,67306708.83876626,642931505730.4277,642931505730.4277,0.0007470723763426308,9552.264801278207,9552.264801278207,0.0007074831292062882,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
20,海南,4910.7,4910700.0,982.0,98200.0,14673.330466888332,14673330.466888333,0.7380939146868483,1.2419605594280527,14673330.466888333,113223172885.52222,113223172885.52222,0.0010328851152404494,7716.25590666143,7716.25590666143,0.0008316569374120168,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
21,重庆,21588.8,21588800.0,3163.0,316300.0,50663.83463130832,50663834.63130832,0.7380939146868483,1.6103797622666287,50663834.63130832,851864893184.6962,851864893184.6962,0.0006933211712193597,16814.06272114816,16814.06272114816,0.0004305327149935751,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
22,四川,42902.1,42902100.0,8321.0,832100.0,94830.04741899477,94830047.41899477,0.7380939146868483,1.5639154818692091,94830047.41899477,1543482549535.284,1543482549535.284,0.0007370356540343972,16276.302622897554,16276.302622897554,0.00047127588580009707,RAW_NBS_ACTUAL_2018,RAW_NBS_ACTUAL_2018,RAW_NBS_GFCF_TRACK_A_PIM,MU_10WAN_YUAN,NU_100_PERSONS,SOURCE_FAITHFUL_INITIALIZATION_RULE__SCIENTIFIC_REDESIGN_PENDING,RAW_NBS_GFCF_TRACK_A_PIM,PASS
