ii,steady_year,filename_year,plm_vintage,plm_sample_end_year,owner_expanding_sample_start_year,workbook_implied_rolling_sample_start_year,current_level_row_1based,current_level_year,candidate_level_row_1based,candidate_level_year,current_zt_row_1based,current_zt_year,candidate_zt_row_1based,candidate_zt_year,plm_sheet_industry4,plm_workbook_layout,workbook_implied_rolling_sample_end_year,owner_expanding_sample_end_year,plm_window_status,level_status,zt_status
1,2009,2009,10,2009,2000,2000,1,2000,10,2009,21,2020,10,2009,总面板回归系数_10_行业4,FIXED_TEN_PERIOD_WINDOW_EVIDENCE,2009,2009,ALIGNED_FIRST_2000_2009_WINDOW,CONFIRMED_CURRENT_LEVEL_YEAR_MISMATCH,FIXED_2020_ANCHOR_MISMATCH
2,2010,2010,11,2010,2000,2001,2,2001,11,2010,21,2020,11,2010,总面板回归系数_11_行业4,FIXED_TEN_PERIOD_WINDOW_EVIDENCE,2010,2010,END_YEAR_ALIGNED__FIXED_TEN_PERIOD_LAYOUT_CONFLICTS_WITH_EXPANDING_FROM_2000,CONFIRMED_CURRENT_LEVEL_YEAR_MISMATCH,FIXED_2020_ANCHOR_MISMATCH
3,2011,2011,12,2011,2000,2002,3,2002,12,2011,21,2020,12,2011,总面板回归系数_12_行业4,FIXED_TEN_PERIOD_WINDOW_EVIDENCE,2011,2011,END_YEAR_ALIGNED__FIXED_TEN_PERIOD_LAYOUT_CONFLICTS_WITH_EXPANDING_FROM_2000,CONFIRMED_CURRENT_LEVEL_YEAR_MISMATCH,FIXED_2020_ANCHOR_MISMATCH
4,2012,2012,13,2012,2000,2003,4,2003,13,2012,21,2020,13,2012,总面板回归系数_13_行业4,FIXED_TEN_PERIOD_WINDOW_EVIDENCE,2012,2012,END_YEAR_ALIGNED__FIXED_TEN_PERIOD_LAYOUT_CONFLICTS_WITH_EXPANDING_FROM_2000,CONFIRMED_CURRENT_LEVEL_YEAR_MISMATCH,FIXED_2020_ANCHOR_MISMATCH
5,2013,2013,14,2013,2000,2004,5,2004,14,2013,21,2020,14,2013,总面板回归系数_14_行业4,FIXED_TEN_PERIOD_WINDOW_EVIDENCE,2013,2013,END_YEAR_ALIGNED__FIXED_TEN_PERIOD_LAYOUT_CONFLICTS_WITH_EXPANDING_FROM_2000,CONFIRMED_CURRENT_LEVEL_YEAR_MISMATCH,FIXED_2020_ANCHOR_MISMATCH
6,2014,2014,15,2014,2000,2005,6,2005,15,2014,21,2020,15,2014,总面板回归系数_15_行业4,FIXED_TEN_PERIOD_WINDOW_EVIDENCE,2014,2014,END_YEAR_ALIGNED__FIXED_TEN_PERIOD_LAYOUT_CONFLICTS_WITH_EXPANDING_FROM_2000,CONFIRMED_CURRENT_LEVEL_YEAR_MISMATCH,FIXED_2020_ANCHOR_MISMATCH
7,2015,2015,16,2015,2000,2006,7,2006,16,2015,21,2020,16,2015,总面板回归系数_16_行业4,FIXED_TEN_PERIOD_WINDOW_EVIDENCE,2015,2015,END_YEAR_ALIGNED__FIXED_TEN_PERIOD_LAYOUT_CONFLICTS_WITH_EXPANDING_FROM_2000,CONFIRMED_CURRENT_LEVEL_YEAR_MISMATCH,FIXED_2020_ANCHOR_MISMATCH
8,2016,2016,17,2016,2000,2007,8,2007,17,2016,21,2020,17,2016,总面板回归系数_17_行业4,FIXED_TEN_PERIOD_WINDOW_EVIDENCE,2016,2016,END_YEAR_ALIGNED__FIXED_TEN_PERIOD_LAYOUT_CONFLICTS_WITH_EXPANDING_FROM_2000,CONFIRMED_CURRENT_LEVEL_YEAR_MISMATCH,FIXED_2020_ANCHOR_MISMATCH
9,2017,2017,18,2017,2000,2008,9,2008,18,2017,21,2020,18,2017,总面板回归系数_18_行业4,FIXED_TEN_PERIOD_WINDOW_EVIDENCE,2017,2017,END_YEAR_ALIGNED__FIXED_TEN_PERIOD_LAYOUT_CONFLICTS_WITH_EXPANDING_FROM_2000,CONFIRMED_CURRENT_LEVEL_YEAR_MISMATCH,FIXED_2020_ANCHOR_MISMATCH
10,2018,2018,19,2018,2000,2009,10,2009,19,2018,21,2020,19,2018,总面板回归系数_19_行业4,FIXED_TEN_PERIOD_WINDOW_EVIDENCE,2018,2018,END_YEAR_ALIGNED__FIXED_TEN_PERIOD_LAYOUT_CONFLICTS_WITH_EXPANDING_FROM_2000,CONFIRMED_CURRENT_LEVEL_YEAR_MISMATCH,FIXED_2020_ANCHOR_MISMATCH
11,2019,2019,20,2019,2000,2010,11,2010,20,2019,21,2020,20,2019,总面板回归系数_20_行业4,FIXED_TEN_PERIOD_WINDOW_EVIDENCE,2019,2019,END_YEAR_ALIGNED__FIXED_TEN_PERIOD_LAYOUT_CONFLICTS_WITH_EXPANDING_FROM_2000,CONFIRMED_CURRENT_LEVEL_YEAR_MISMATCH,FIXED_2020_ANCHOR_MISMATCH
12,2020,2020,21,2020,2000,2011,12,2011,21,2020,21,2020,21,2020,总面板回归系数_21_行业4,FIXED_TEN_PERIOD_WINDOW_EVIDENCE,2020,2020,END_YEAR_ALIGNED__FIXED_TEN_PERIOD_LAYOUT_CONFLICTS_WITH_EXPANDING_FROM_2000,CONFIRMED_CURRENT_LEVEL_YEAR_MISMATCH,YEAR_ALIGNED_ONLY_FOR_2020
13,2021,2021,22,2021,2000,2012,13,2012,22,2021,21,2020,22,2021,总面板回归系数_22_行业4,FIXED_TEN_PERIOD_WINDOW_EVIDENCE,2021,2021,END_YEAR_ALIGNED__FIXED_TEN_PERIOD_LAYOUT_CONFLICTS_WITH_EXPANDING_FROM_2000,CONFIRMED_CURRENT_LEVEL_YEAR_MISMATCH,FIXED_2020_ANCHOR_MISMATCH
