contract_version,steady_year,calendar_year,analysis_index,workbook_data_row_index,level_calendar_year,data_mat_index,plm_vintage_key,plm_window_type,plm_sample_start_year,plm_sample_end_year,plm_sample_length,zt_source_data_row_index,zt_source_calendar_year
CH5_ANNUAL_TEMPORAL_CONTRACT_V2_ROLLING10Y_SAMEYEAR_ZT,2009,2009,1,10,2009,1,10,ROLLING_10_YEAR,2000,2009,10,10,2009
CH5_ANNUAL_TEMPORAL_CONTRACT_V2_ROLLING10Y_SAMEYEAR_ZT,2010,2010,2,11,2010,2,11,ROLLING_10_YEAR,2001,2010,10,11,2010
CH5_ANNUAL_TEMPORAL_CONTRACT_V2_ROLLING10Y_SAMEYEAR_ZT,2011,2011,3,12,2011,3,12,ROLLING_10_YEAR,2002,2011,10,12,2011
CH5_ANNUAL_TEMPORAL_CONTRACT_V2_ROLLING10Y_SAMEYEAR_ZT,2012,2012,4,13,2012,4,13,ROLLING_10_YEAR,2003,2012,10,13,2012
CH5_ANNUAL_TEMPORAL_CONTRACT_V2_ROLLING10Y_SAMEYEAR_ZT,2013,2013,5,14,2013,5,14,ROLLING_10_YEAR,2004,2013,10,14,2013
CH5_ANNUAL_TEMPORAL_CONTRACT_V2_ROLLING10Y_SAMEYEAR_ZT,2014,2014,6,15,2014,6,15,ROLLING_10_YEAR,2005,2014,10,15,2014
CH5_ANNUAL_TEMPORAL_CONTRACT_V2_ROLLING10Y_SAMEYEAR_ZT,2015,2015,7,16,2015,7,16,ROLLING_10_YEAR,2006,2015,10,16,2015
CH5_ANNUAL_TEMPORAL_CONTRACT_V2_ROLLING10Y_SAMEYEAR_ZT,2016,2016,8,17,2016,8,17,ROLLING_10_YEAR,2007,2016,10,17,2016
CH5_ANNUAL_TEMPORAL_CONTRACT_V2_ROLLING10Y_SAMEYEAR_ZT,2017,2017,9,18,2017,9,18,ROLLING_10_YEAR,2008,2017,10,18,2017
CH5_ANNUAL_TEMPORAL_CONTRACT_V2_ROLLING10Y_SAMEYEAR_ZT,2018,2018,10,19,2018,10,19,ROLLING_10_YEAR,2009,2018,10,19,2018
CH5_ANNUAL_TEMPORAL_CONTRACT_V2_ROLLING10Y_SAMEYEAR_ZT,2019,2019,11,20,2019,11,20,ROLLING_10_YEAR,2010,2019,10,20,2019
CH5_ANNUAL_TEMPORAL_CONTRACT_V2_ROLLING10Y_SAMEYEAR_ZT,2020,2020,12,21,2020,12,21,ROLLING_10_YEAR,2011,2020,10,21,2020
CH5_ANNUAL_TEMPORAL_CONTRACT_V2_ROLLING10Y_SAMEYEAR_ZT,2021,2021,13,22,2021,13,22,ROLLING_10_YEAR,2012,2021,10,22,2021
CH5_ANNUAL_TEMPORAL_CONTRACT_V2_ROLLING10Y_SAMEYEAR_ZT,2022,2022,14,23,2022,14,23,ROLLING_10_YEAR,2013,2022,10,23,2022
CH5_ANNUAL_TEMPORAL_CONTRACT_V2_ROLLING10Y_SAMEYEAR_ZT,2023,2023,15,24,2023,15,24,ROLLING_10_YEAR,2014,2023,10,24,2023
