province_index,province_name,legacy_At_grid,N0_NU,AtN_baseline_MU,K0_MU,GovInv_source_initial_reference_MU,AtN_to_K0,AtN_to_GovInv_reference,bridge_status,authority
1,北京,2.0,219200.0,438400.0,58719043.066994764,58719043.066994764,0.007466061725491898,0.007466061725491898,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
2,天津,2.0,138300.0,276600.0,64593598.72309723,64593598.72309723,0.004282158069342776,0.004282158069342776,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
3,河北,2.0,742600.0,1485200.0,113705229.18254791,113705229.18254791,0.013061844302829622,0.013061844302829622,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
4,山西,2.0,350200.0,700400.0,53478727.38884524,53478727.38884524,0.013096796318793697,0.013096796318793697,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
5,内蒙古,2.0,242200.0,484400.0,82165502.99427319,82165502.99427319,0.0058954181785239234,0.0058954181785239234,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
6,辽宁,2.0,429100.0,858200.0,90061052.78222083,90061052.78222083,0.00952909136067105,0.00952909136067105,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
7,吉林,2.0,248400.0,496800.0,66308917.7271201,66308917.7271201,0.007492204925504471,0.007492204925504471,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
8,黑龙江,2.0,332700.0,665400.0,58424879.89838116,58424879.89838116,0.011388983617207863,0.011388983617207863,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
9,上海,2.0,247500.0,495000.0,66125294.30800852,66125294.30800852,0.007485788988617777,0.007485788988617777,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
10,江苏,2.0,844600.0,1689200.0,203535217.25929242,203535217.25929242,0.008299300842114483,0.008299300842114483,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
11,浙江,2.0,627300.0,1254600.0,124249656.20818298,124249656.20818298,0.010097412244730004,0.010097412244730004,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
12,安徽,2.0,607600.0,1215200.0,70182433.35888097,70182433.35888097,0.017314874133617188,0.017314874133617188,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
13,福建,2.0,410400.0,820800.0,87795538.11850408,87795538.11850408,0.009348994465893086,0.009348994465893086,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
14,江西,2.0,451300.0,902600.0,51050047.92908307,51050047.92908307,0.017680688591200935,0.017680688591200935,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
15,山东,2.0,1007700.0,2015400.0,210016973.07581103,210016973.07581103,0.0095963672387207,0.0095963672387207,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
16,河南,2.0,986400.0,1972800.0,168320556.01470312,168320556.01470312,0.011720493602859013,0.011720493602859013,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
17,湖北,2.0,591700.0,1183400.0,101805153.6623069,101805153.6623069,0.01162416594277143,0.01162416594277143,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
18,湖南,2.0,663500.0,1327000.0,93791807.14892803,93791807.14892803,0.014148357306869171,0.014148357306869171,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
19,广东,2.0,1234800.0,2469600.0,191259406.86816654,191259406.86816654,0.012912306068701102,0.012912306068701102,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
