province_index,province_name,Y0_raw_亿元,Y0_MU,POP_raw_万人,N0_NU,K0_trackA_亿元,K0_MU,L0,L0_proxy_role,alpha_raw,alpha_used,alpha_clip_flag,alpha_clip_reason,Zt0,Kt_1,Lt_1,Yt_1,Zt_1,pit,pit_1,rk_old,mstar,mt0,raw_wjt0,used_wjt0,wage_bound_status,wage_lower_clip,wage_upper_clip,rk_new,Thetat,PIt,Corptax_before_clipping,divrate,raw_ra0,used_ra0,ra_bound_status,ra_lower_clip,ra_upper_clip,Corptax_ra_adjustment,Corptax_after_ra_clip,Corptax_wage_adjustment,Corptax_after_ra_and_wage_clip,legacy_ra,legacy_wjt,raw_ra_minus_legacy,raw_wjt_minus_legacy,legacy_matlab_level_year,legacy_matlab_gdp_亿元,legacy_matlab_population_万人,legacy_matlab_capital_亿元,K_to_Y,K_to_N,Y_to_N,firm_equation_provenance,clipping_provenance,unit_provenance,inter_prv_ratio,rah0,rah0_provenance,w0,w0_provenance,composite_seed_policy
1,北京,33106.0,33106000.0,2192.0,219200.0,58719.04306699477,58719043.066994764,219200.0,2018_POPULATION_AS_LABOR_PROXY_NU,0.7380939146868483,0.7380939146868483,False,NONE_INSIDE_OWNER_RANGE_0.2_0.8,2.437920774687262,58719043.066994764,219200.0,33106000.0,2.437920774687262,0.02,0.02,0.1,0.9,0.92,36.39146820961234,1.3,above,False,True,0.3828487147313371,662120.0,1986359.9999999986,496589.99999999965,0.0253711559689463,0.38321987070028335,0.09,above,False,True,17217590.21574857,17714180.21574857,7692049.831547026,25406230.047295596,0.09,0.6,0.2932198707002833,35.79146820961234,2009,11865.9,1860.0,22559.982999422267,1.7736677057631476,267.87884610855275,151.0310218978102,"HANK_firm.m:30,33-35,43-54",HANK_firm.m:55-74,exact task section 3: GDP/K x1000 MU; POP x100 NU,0.1371615229287191,0.07859282907432666,HANK_mp_1turn.m:29-40; SOURCE_LAGGED_BASELINE_INITIAL_SEED,18.319859030118984,HANK_mp_1turn.m:4-10; wage_caculate.m:3-11; load_distdata.m:6-8,INITIAL_COMPOSITE_NO_DAMPING_BASE
2,天津,13362.9,13362900.0,1383.0,138300.0,64593.598723097224,64593598.72309723,138300.0,2018_POPULATION_AS_LABOR_PROXY_NU,0.7380939146868483,0.7380939146868483,False,NONE_INSIDE_OWNER_RANGE_0.2_0.8,1.034748432816036,64593598.72309723,138300.0,13362900.0,1.034748432816036,0.02,0.02,0.1,0.9,0.92,23.28155344350417,1.3,above,False,True,0.14047876783676871,267258.0,801773.9999999995,200443.49999999988,0.00930944415371267,0.12478821199048139,0.09,above,False,True,2247095.8056071945,2447539.3056071945,3040048.8412366263,5487588.146843821,0.09,0.6,0.03478821199048139,22.681553443504168,2009,5709.57,1228.0,13015.125620434272,4.8338009506242825,467.05422070207686,96.62255965292842,"HANK_firm.m:30,33-35,43-54",HANK_firm.m:55-74,exact task section 3: GDP/K x1000 MU; POP x100 NU,0.3,0.06490365475420734,HANK_mp_1turn.m:29-40; SOURCE_LAGGED_BASELINE_INITIAL_SEED,18.198003011640164,HANK_mp_1turn.m:4-10; wage_caculate.m:3-11; load_distdata.m:6-8,INITIAL_COMPOSITE_NO_DAMPING_BASE
3,河北,32494.6,32494600.0,7426.0,742600.0,113705.22918254792,113705229.18254791,742600.0,2018_POPULATION_AS_LABOR_PROXY_NU,0.7380939146868483,0.7380939146868483,False,NONE_INSIDE_OWNER_RANGE_0.2_0.8,1.067338636199028,113705229.18254791,742600.0,32494600.0,1.067338636199028,0.02,0.02,0.1,0.9,0.92,10.543618100500137,1.3,above,False,True,0.19405740050128942,649892.0,1949675.9999999986,487418.99999999965,0.01286006818254964,0.18191746868383907,0.09,above,False,True,10451496.842575593,10938915.842575593,6864310.801431401,17803226.644006994,0.09,0.6,0.09191746868383907,9.943618100500137,2009,15306.9,7034.0,35684.41289231887,3.499203842563008,153.11773388438985,43.75787772690547,"HANK_firm.m:30,33-35,43-54",HANK_firm.m:55-74,exact task section 3: GDP/K x1000 MU; POP x100 NU,0.04333704899600312,0.08640803056619092,HANK_mp_1turn.m:29-40; SOURCE_LAGGED_BASELINE_INITIAL_SEED,18.121763089356133,HANK_mp_1turn.m:4-10; wage_caculate.m:3-11; load_distdata.m:6-8,INITIAL_COMPOSITE_NO_DAMPING_BASE
4,山西,15958.1,15958100.0,3502.0,350200.0,53478.72738884524,53478727.38884524,350200.0,2018_POPULATION_AS_LABOR_PROXY_NU,0.7380939146868483,0.7380939146868483,False,NONE_INSIDE_OWNER_RANGE_0.2_0.8,1.1136984900932783,53478727.38884524,350200.0,15958100.0,1.1136984900932783,0.02,0.02,0.1,0.9,0.92,10.979901827621196,1.3,above,False,True,0.2026280524810567,319162.0,957485.9999999993,239371.49999999983,0.013428040177145016,0.19105609265820173,0.09,above,False,True,5404351.230249856,5643722.730249856,3389901.620032943,9033624.3502828,0.09,0.6,0.10105609265820173,10.379901827621197,2009,7147.61,3427.0,14498.682754546153,3.3511964073946925,152.70910162434393,45.56853226727584,"HANK_firm.m:30,33-35,43-54",HANK_firm.m:55-74,exact task section 3: GDP/K x1000 MU; POP x100 NU,0.04300296625588593,0.08643576394514026,HANK_mp_1turn.m:29-40; SOURCE_LAGGED_BASELINE_INITIAL_SEED,18.203099062044032,HANK_mp_1turn.m:4-10; wage_caculate.m:3-11; load_distdata.m:6-8,INITIAL_COMPOSITE_NO_DAMPING_BASE
5,内蒙古,16140.8,16140800.0,2422.0,242200.0,82165.50299427319,82165502.99427319,242200.0,2018_POPULATION_AS_LABOR_PROXY_NU,0.7380939146868483,0.7380939146868483,False,NONE_INSIDE_OWNER_RANGE_0.2_0.8,0.9036347315500086,82165502.99427319,242200.0,16140800.0,0.9036347315500086,0.02,0.02,0.1,0.9,0.92,16.057736756716427,1.3,above,False,True,0.13339359899357278,322816.0,968447.9999999993,242111.99999999983,0.00883991424053747,0.11723351323411026,0.09,above,False,True,2237655.313181865,2479767.313181865,3574323.842476718,6054091.155658583,0.09,0.6,0.02723351323411026,15.457736756716427,2009,7104.22,2458.0,15902.596764207525,5.090547122464388,339.24650286652843,66.64244426094137,"HANK_firm.m:30,33-35,43-54",HANK_firm.m:55-74,exact task section 3: GDP/K x1000 MU; POP x100 NU,0.19550910009447842,0.07370607384987489,HANK_mp_1turn.m:29-40; SOURCE_LAGGED_BASELINE_INITIAL_SEED,17.638053822269907,HANK_mp_1turn.m:4-10; wage_caculate.m:3-11; load_distdata.m:6-8,INITIAL_COMPOSITE_NO_DAMPING_BASE
6,辽宁,23510.5,23510500.0,4291.0,429100.0,90061.05278222082,90061052.78222083,429100.0,2018_POPULATION_AS_LABOR_PROXY_NU,0.7380939146868483,0.7380939146868483,False,NONE_INSIDE_OWNER_RANGE_0.2_0.8,1.0589248653382726,90061052.78222083,429100.0,23510500.0,1.0589248653382726,0.02,0.02,0.1,0.9,0.92,13.201909991271187,1.3,above,False,True,0.1772655318759184,470210.0,1410629.999999999,352657.49999999977,0.011747281064527553,0.16401281294044595,0.09,above,False,True,6665671.85279014,7018329.35279014,5107109.577254466,12125438.930044606,0.09,0.6,0.07401281294044595,12.601909991271187,2009,12815.7,4341.0,31964.205287146844,3.8306736471883127,209.88360005178473,54.79025868096015,"HANK_firm.m:30,33-35,43-54",HANK_firm.m:55-74,exact task section 3: GDP/K x1000 MU; POP x100 NU,0.08974673802104023,0.08254889155973023,HANK_mp_1turn.m:29-40; SOURCE_LAGGED_BASELINE_INITIAL_SEED,16.72579387534917,HANK_mp_1turn.m:4-10; wage_caculate.m:3-11; load_distdata.m:6-8,INITIAL_COMPOSITE_NO_DAMPING_BASE
7,吉林,11253.8,11253800.0,2484.0,248400.0,66308.9177271201,66308917.7271201,248400.0,2018_POPULATION_AS_LABOR_PROXY_NU,0.7380939146868483,0.7380939146868483,False,NONE_INSIDE_OWNER_RANGE_0.2_0.8,0.7331983987589327,66308917.7271201,248400.0,11253800.0,0.7331983987589327,0.02,0.02,0.1,0.9,0.92,10.916439640359805,1.3,above,False,True,0.11524622411698836,225076.0,675227.9999999995,168806.99999999988,0.0076372985317610656,0.09788352264874942,0.09,above,False,True,522747.8547158132,691554.8547158131,2388723.606665375,3080278.461381188,0.09,0.6,0.00788352264874942,10.316439640359805,2009,5434.84,2740.0,16943.247903448653,5.892135787655734,266.9441132331727,45.30515297906602,"HANK_firm.m:30,33-35,43-54",HANK_firm.m:55-74,exact task section 3: GDP/K x1000 MU; POP x100 NU,0.1363973196319713,0.0786566974876448,HANK_mp_1turn.m:29-40; SOURCE_LAGGED_BASELINE_INITIAL_SEED,15.98491210464971,HANK_mp_1turn.m:4-10; wage_caculate.m:3-11; load_distdata.m:6-8,INITIAL_COMPOSITE_NO_DAMPING_BASE
8,黑龙江,12846.5,12846500.0,3327.0,332700.0,58424.87989838116,58424879.89838116,332700.0,2018_POPULATION_AS_LABOR_PROXY_NU,0.7380939146868483,0.7380939146868483,False,NONE_INSIDE_OWNER_RANGE_0.2_0.8,0.8512301435859188,58424879.89838116,332700.0,12846500.0,0.8512301435859188,0.02,0.02,0.1,0.9,0.92,9.30390863533926,1.3,above,False,True,0.14930915754033644,256930.0,770789.9999999995,192697.49999999988,0.009894628812339544,0.134203786352676,0.09,above,False,True,2582600.908708795,2775298.408708795,2662900.4029773716,5438198.811686167,0.09,0.6,0.044203786352675994,8.70390863533926,2009,7218.9,3826.0,15833.49120515163,4.547921994191504,175.60829545651086,38.61286444244064,"HANK_firm.m:30,33-35,43-54",HANK_firm.m:55-74,exact task section 3: GDP/K x1000 MU; POP x100 NU,0.061724506794720045,0.08488059053640952,HANK_mp_1turn.m:29-40; SOURCE_LAGGED_BASELINE_INITIAL_SEED,14.782111996765861,HANK_mp_1turn.m:4-10; wage_caculate.m:3-11; load_distdata.m:6-8,INITIAL_COMPOSITE_NO_DAMPING_BASE
9,上海,36011.8,36011800.0,2475.0,247500.0,66125.29430800852,66125294.30800852,247500.0,2018_POPULATION_AS_LABOR_PROXY_NU,0.7380939146868483,0.7380939146868483,False,NONE_INSIDE_OWNER_RANGE_0.2_0.8,2.353254580746131,66125294.30800852,247500.0,36011800.0,2.353254580746131,0.02,0.02,0.1,0.9,0.92,35.05928403245958,1.3,above,False,True,0.3698083079685384,720236.0,2160707.9999999986,540176.9999999997,0.024506975990936868,0.36931528395947527,0.09,above,False,True,18469805.356545273,19009982.356545273,8355422.798033747,27365405.15457902,0.09,0.6,0.27931528395947525,34.45928403245958,2009,15742.44,2210.28,28775.375533163773,1.836211861334577,267.17290629498393,145.50222222222223,"HANK_firm.m:30,33-35,43-54",HANK_firm.m:55-74,exact task section 3: GDP/K x1000 MU; POP x100 NU,0.13658437244322294,0.0786410648427616,HANK_mp_1turn.m:29-40; SOURCE_LAGGED_BASELINE_INITIAL_SEED,18.0332764190634,HANK_mp_1turn.m:4-10; wage_caculate.m:3-11; load_distdata.m:6-8,INITIAL_COMPOSITE_NO_DAMPING_BASE
10,江苏,93207.6,93207600.0,8446.0,844600.0,203535.21725929243,203535217.25929242,844600.0,2018_POPULATION_AS_LABOR_PROXY_NU,0.7380939146868483,0.7380939146868483,False,NONE_INSIDE_OWNER_RANGE_0.2_0.8,1.9260565786278652,203535217.25929242,844600.0,93207600.0,1.9260565786278652,0.02,0.02,0.1,0.9,0.92,26.590938463698077,1.3,above,False,True,0.31096478646705056,1864152.0,5592455.999999996,1398113.999999999,0.02060745091920206,0.3065722373862526,0.09,above,False,True,44080077.38874198,45478191.38874198,21360726.626439396,66838918.01518138,0.09,0.6,0.21657223738625261,25.990938463698075,2009,34061.2,7810.0,63173.647715529645,2.1836761944229055,240.98415493641065,110.35709211461047,"HANK_firm.m:30,33-35,43-54",HANK_firm.m:55-74,exact task section 3: GDP/K x1000 MU; POP x100 NU,0.11517341038864391,0.08042908909180554,HANK_mp_1turn.m:29-40; SOURCE_LAGGED_BASELINE_INITIAL_SEED,18.287049574345293,HANK_mp_1turn.m:4-10; wage_caculate.m:3-11; load_distdata.m:6-8,INITIAL_COMPOSITE_NO_DAMPING_BASE
