regime,year,observed,step,ra_exact_lower,ra_exact_upper,wjt_exact_lower,wjt_exact_upper,ra0_strict_above,ra0_strict_below,wt0_strict_above,wt0_strict_below,rah_above_owner_recollection_0p07,raw_to_clip_failures
OWNER_A,2009,31,64,0,0,7,14,0,0,14,7,0,0
OWNER_A,2010,31,64,0,0,6,19,0,0,19,6,0,0
OWNER_A,2011,31,62,0,0,5,22,0,0,22,5,0,0
OWNER_A,2012,31,63,0,0,4,22,0,0,22,4,0,0
OWNER_A,2013,31,63,0,0,4,22,0,0,22,4,0,0
OWNER_A,2014,31,59,0,0,4,26,0,0,26,4,0,0
OWNER_A,2015,31,58,0,0,4,26,0,0,26,4,0,0
OWNER_A,2016,31,57,0,0,4,26,0,0,26,4,0,0
OWNER_A,2017,31,57,0,0,4,26,0,0,26,4,0,0
OWNER_A,2019,31,67,0,0,9,13,0,0,13,9,0,0
OWNER_A,2020,31,69,0,0,28,1,0,0,1,28,0,0
OWNER_A,2021,31,71,0,0,18,6,0,0,6,18,0,0
OWNER_A,2022,31,70,0,0,23,2,0,0,2,23,0,0
RUNTIME_CACHE,2009,31,194,0,0,29,0,0,0,0,29,0,0
RUNTIME_CACHE,2010,31,192,0,0,28,0,0,0,0,28,0,0
RUNTIME_CACHE,2011,31,188,0,0,28,0,0,0,0,28,0,0
RUNTIME_CACHE,2012,31,186,0,0,27,0,0,0,0,27,0,0
RUNTIME_CACHE,2013,31,184,0,0,27,1,0,0,1,27,0,0
RUNTIME_CACHE,2014,31,186,0,0,24,3,0,0,3,24,0,0
RUNTIME_CACHE,2015,31,184,0,0,24,3,0,0,3,24,0,0
RUNTIME_CACHE,2016,31,184,0,0,19,4,0,0,4,19,0,0
RUNTIME_CACHE,2017,31,182,0,0,17,5,0,0,5,17,0,0
RUNTIME_CACHE,2018,31,177,0,0,26,2,0,0,2,26,0,0
RUNTIME_CACHE,2019,31,175,0,0,28,0,0,0,0,28,0,0
RUNTIME_CACHE,2020,31,175,0,0,31,0,0,0,0,31,0,0
RUNTIME_CACHE,2021,31,175,0,0,30,0,0,0,0,30,0,0
RUNTIME_CACHE,2022,31,177,0,0,31,0,0,0,0,31,0,0
RUNTIME_CACHE,2023,31,181,0,0,31,0,0,0,0,31,0,0
