regime,province,observed_years,ra_exact_upper,ra_exact_lower,wjt_exact_upper,wjt_exact_lower,ra0_strict_above,ra0_strict_below,wt0_strict_above,wt0_strict_below,wage_upper_years,wage_lower_years
OWNER_A,北京,13,0,0,10,2,0,0,10,2,2009 2010 2011 2012 2013 2014 2015 2016 2017 2019,2020 2022
OWNER_A,天津,13,0,0,4,4,0,0,4,4,2014 2015 2016 2017,2019 2020 2021 2022
OWNER_A,河北,13,0,0,10,2,0,0,10,2,2009 2010 2011 2012 2013 2014 2015 2016 2017 2019,2020 2022
OWNER_A,山西,13,0,0,8,3,0,0,8,3,2010 2011 2012 2013 2014 2015 2016 2017,2020 2021 2022
OWNER_A,内蒙古,13,0,0,7,3,0,0,7,3,2011 2012 2013 2014 2015 2016 2017,2020 2021 2022
OWNER_A,辽宁,13,0,0,9,3,0,0,9,3,2009 2010 2011 2012 2013 2014 2015 2016 2017,2020 2021 2022
OWNER_A,吉林,13,0,0,4,4,0,0,4,4,2014 2015 2016 2017,2019 2020 2021 2022
OWNER_A,黑龙江,13,0,0,8,4,0,0,8,4,2010 2011 2012 2013 2014 2015 2016 2017,2019 2020 2021 2022
OWNER_A,上海,13,0,0,10,2,0,0,10,2,2009 2010 2011 2012 2013 2014 2015 2016 2017 2019,2020 2022
OWNER_A,江苏,13,0,0,12,1,0,0,12,1,2009 2010 2011 2012 2013 2014 2015 2016 2017 2019 2021 2022,2020
OWNER_A,浙江,13,0,0,11,1,0,0,11,1,2009 2010 2011 2012 2013 2014 2015 2016 2017 2019 2021,2020
OWNER_A,安徽,13,0,0,10,2,0,0,10,2,2009 2010 2011 2012 2013 2014 2015 2016 2017 2019,2020 2022
OWNER_A,福建,13,0,0,10,1,0,0,10,1,2009 2010 2011 2012 2013 2014 2015 2016 2017 2019,2020
OWNER_A,江西,13,0,0,8,3,0,0,8,3,2010 2011 2012 2013 2014 2015 2016 2017,2020 2021 2022
OWNER_A,山东,13,0,0,11,1,0,0,11,1,2009 2010 2011 2012 2013 2014 2015 2016 2017 2019 2021,2020
OWNER_A,河南,13,0,0,11,0,0,0,11,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2019 2021,
OWNER_A,湖北,13,0,0,10,1,0,0,10,1,2009 2010 2011 2012 2013 2014 2015 2016 2017 2019,2020
OWNER_A,湖南,13,0,0,10,2,0,0,10,2,2009 2010 2011 2012 2013 2014 2015 2016 2017 2019,2020 2022
OWNER_A,广东,13,0,0,13,0,0,0,13,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2019 2020 2021 2022,
OWNER_A,广西,13,0,0,8,3,0,0,8,3,2010 2011 2012 2013 2014 2015 2016 2017,2020 2021 2022
OWNER_A,海南,13,0,0,0,13,0,0,0,13,,2009 2010 2011 2012 2013 2014 2015 2016 2017 2019 2020 2021 2022
OWNER_A,重庆,13,0,0,7,3,0,0,7,3,2011 2012 2013 2014 2015 2016 2017,2020 2021 2022
OWNER_A,四川,13,0,0,11,0,0,0,11,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2019 2021,
OWNER_A,贵州,13,0,0,4,5,0,0,4,5,2014 2015 2016 2017,2009 2010 2020 2021 2022
OWNER_A,云南,13,0,0,7,3,0,0,7,3,2011 2012 2013 2014 2015 2016 2017,2020 2021 2022
OWNER_A,西藏,13,0,0,0,13,0,0,0,13,,2009 2010 2011 2012 2013 2014 2015 2016 2017 2019 2020 2021 2022
OWNER_A,陕西,13,0,0,8,3,0,0,8,3,2010 2011 2012 2013 2014 2015 2016 2017,2020 2021 2022
OWNER_A,甘肃,13,0,0,0,7,0,0,0,7,,2009 2010 2011 2019 2020 2021 2022
OWNER_A,青海,13,0,0,0,13,0,0,0,13,,2009 2010 2011 2012 2013 2014 2015 2016 2017 2019 2020 2021 2022
OWNER_A,宁夏,13,0,0,0,13,0,0,0,13,,2009 2010 2011 2012 2013 2014 2015 2016 2017 2019 2020 2021 2022
OWNER_A,新疆,13,0,0,4,5,0,0,4,5,2014 2015 2016 2017,2009 2019 2020 2021 2022
RUNTIME_CACHE,北京,15,0,0,0,13,0,0,0,13,,2009 2010 2011 2012 2013 2014 2015 2018 2019 2020 2021 2022 2023
RUNTIME_CACHE,天津,15,0,0,0,15,0,0,0,15,,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
RUNTIME_CACHE,河北,15,0,0,0,11,0,0,0,11,,2009 2010 2011 2012 2013 2018 2019 2020 2021 2022 2023
RUNTIME_CACHE,山西,15,0,0,0,15,0,0,0,15,,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
RUNTIME_CACHE,内蒙古,15,0,0,0,15,0,0,0,15,,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
RUNTIME_CACHE,辽宁,15,0,0,0,13,0,0,0,13,,2009 2010 2011 2012 2013 2014 2015 2018 2019 2020 2021 2022 2023
RUNTIME_CACHE,吉林,15,0,0,0,15,0,0,0,15,,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
RUNTIME_CACHE,黑龙江,15,0,0,0,15,0,0,0,15,,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
RUNTIME_CACHE,上海,15,0,0,0,11,0,0,0,11,,2009 2010 2011 2012 2013 2018 2019 2020 2021 2022 2023
RUNTIME_CACHE,江苏,15,0,0,5,4,0,0,5,4,2014 2015 2016 2017 2018,2020 2021 2022 2023
RUNTIME_CACHE,浙江,15,0,0,2,8,0,0,2,8,2016 2017,2009 2010 2011 2019 2020 2021 2022 2023
RUNTIME_CACHE,安徽,15,0,0,0,14,0,0,0,14,,2009 2010 2011 2012 2013 2014 2015 2016 2018 2019 2020 2021 2022 2023
RUNTIME_CACHE,福建,15,0,0,0,13,0,0,0,13,,2009 2010 2011 2012 2013 2014 2015 2018 2019 2020 2021 2022 2023
RUNTIME_CACHE,江西,15,0,0,0,15,0,0,0,15,,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
RUNTIME_CACHE,山东,15,0,0,4,5,0,0,4,5,2014 2015 2016 2017,2009 2020 2021 2022 2023
RUNTIME_CACHE,河南,15,0,0,1,10,0,0,1,10,2017,2009 2010 2011 2012 2013 2019 2020 2021 2022 2023
RUNTIME_CACHE,湖北,15,0,0,0,13,0,0,0,13,,2009 2010 2011 2012 2013 2014 2015 2018 2019 2020 2021 2022 2023
