index_0,index_1,province,outer_iteration,status,rah,w,Yt,Lt,Kt,Zt,GovInv,lagged_ra_identified,ra0,ra,wt0,wjt
0,1,北京,24,CAPTURED_OLD_STATE,0.07985285877268564,16.29481943663948,32660590.567596186,3185928.6182838622,104657203.82039349,0.6403473853138838,115015345.09205651,,,,,
1,2,天津,24,CAPTURED_OLD_STATE,0.06123387138031296,16.10035806503981,14392343.092432156,3105834.6565885795,109041667.976877,0.2749948781993189,119839000.70452441,,,,,
2,3,河北,24,CAPTURED_OLD_STATE,0.08662412564595579,16.649388522526596,35004373.03157652,3197035.5971607896,191848218.8777281,0.42928430407207846,210925986.04366153,,,,,
3,4,山西,24,CAPTURED_OLD_STATE,0.08678234747166383,16.422269458151387,17185999.44969267,3205238.0262377993,80228734.2487107,0.41332504776009144,88141858.59328865,,,,,
4,5,内蒙古,24,CAPTURED_OLD_STATE,0.07295416068892241,15.722208029542838,17383909.30704063,3173328.841188577,121029637.95139048,0.3049413134767052,133027029.18461373,,,,,
5,6,辽宁,24,CAPTURED_OLD_STATE,0.08361852442253288,15.163099238714288,25325884.05522789,3164932.6002856963,142397241.55969733,0.39196160880381403,156529999.42161727,,,,,
6,7,吉林,24,CAPTURED_OLD_STATE,0.05376571879717865,14.309701088750462,11220460.947993515,2916051.0020576213,101170866.04351458,0.24819918510142613,101072960.83750287,,,,,
7,8,黑龙江,24,CAPTURED_OLD_STATE,0.08123807724463224,13.30199653424146,13835798.109385954,2981747.354419851,93950592.59947793,0.29938430790885884,103236908.37238838,,,,,
8,9,上海,24,CAPTURED_OLD_STATE,0.08005552466006084,16.24667050797416,38792314.477406554,3181966.6987504065,114738515.57837808,0.7085755973446222,126105147.88854676,,,,,
9,10,江苏,24,CAPTURED_OLD_STATE,0.08328181365246,16.91953731851864,99749117.101013,3119433.784440527,317087934.68946624,0.8342395103326485,348695635.7089272,,,,,
10,11,浙江,24,CAPTURED_OLD_STATE,0.08475442297317898,16.58135152949599,62483101.178811304,3148471.128784851,208368451.37099433,0.7213849050619462,229099902.24602044,,,,,
11,12,安徽,24,CAPTURED_OLD_STATE,0.09,16.82014806560587,36636882.21977386,3210665.858026796,115362461.89160682,0.6650485431957093,126787113.32577418,0.09,,,,
12,13,福建,24,NOT_CAPTURED_BEFORE_EXCEPTION,,,,,,,,,,,,
13,14,江西,24,NOT_CAPTURED_BEFORE_EXCEPTION,,,,,,,,,,,,
14,15,山东,24,NOT_CAPTURED_BEFORE_EXCEPTION,,,,,,,,,,,,
15,16,河南,24,NOT_CAPTURED_BEFORE_EXCEPTION,,,,,,,,,,,,
16,17,湖北,24,NOT_CAPTURED_BEFORE_EXCEPTION,,,,,,,,,,,,
17,18,湖南,24,NOT_CAPTURED_BEFORE_EXCEPTION,,,,,,,,,,,,
18,19,广东,24,NOT_CAPTURED_BEFORE_EXCEPTION,,,,,,,,,,,,
19,20,广西,24,NOT_CAPTURED_BEFORE_EXCEPTION,,,,,,,,,,,,
20,21,海南,24,NOT_CAPTURED_BEFORE_EXCEPTION,,,,,,,,,,,,
21,22,重庆,24,NOT_CAPTURED_BEFORE_EXCEPTION,,,,,,,,,,,,
22,23,四川,24,NOT_CAPTURED_BEFORE_EXCEPTION,,,,,,,,,,,,
23,24,贵州,24,NOT_CAPTURED_BEFORE_EXCEPTION,,,,,,,,,,,,
24,25,云南,24,NOT_CAPTURED_BEFORE_EXCEPTION,,,,,,,,,,,,
25,26,西藏,24,NOT_CAPTURED_BEFORE_EXCEPTION,,,,,,,,,,,,
26,27,陕西,24,NOT_CAPTURED_BEFORE_EXCEPTION,,,,,,,,,,,,
27,28,甘肃,24,NOT_CAPTURED_BEFORE_EXCEPTION,,,,,,,,,,,,
28,29,青海,24,NOT_CAPTURED_BEFORE_EXCEPTION,,,,,,,,,,,,
29,30,宁夏,24,NOT_CAPTURED_BEFORE_EXCEPTION,,,,,,,,,,,,
30,31,新疆,24,NOT_CAPTURED_BEFORE_EXCEPTION,,,,,,,,,,,,
