index_0,province,phase,field,side,constraint,observed,contacts,first,last,longest_confirmed,frequency
0,北京,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
0,北京,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
0,北京,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
0,北京,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
0,北京,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
0,北京,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
0,北京,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
0,北京,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
0,北京,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
0,北京,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
0,北京,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
0,北京,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
1,天津,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
1,天津,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
1,天津,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
1,天津,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
1,天津,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
1,天津,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
1,天津,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
1,天津,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
1,天津,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
1,天津,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
1,天津,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
1,天津,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
2,河北,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
2,河北,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
2,河北,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
2,河北,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
2,河北,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
2,河北,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
2,河北,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
2,河北,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
2,河北,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
2,河北,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
2,河北,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
2,河北,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
3,山西,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
3,山西,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
3,山西,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
