completed_turn,observed_post_provinces,complete_national_post_coverage,maxKNratiogap,maximum_province,observed_subset_max_gap,maxYtgap,steady_state,convergence_exited_first,exit_evidence,gate,gate_provenance,captured_controller_event_record,reason
1,31,True,19.842075357095016,广东,19.842075357095016,0.9998837852384455,1,False,next household batch actually entered,CLOSED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
2,31,True,0.30787718279682275,西藏,0.30787718279682275,0.07249849581738799,1,False,next household batch actually entered,CLOSED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
3,31,True,0.14187586624280568,广东,0.14187586624280568,0.022349809257733,1,False,next household batch actually entered,CLOSED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
4,31,True,0.05832661228030156,西藏,0.05832661228030156,5.228391659750642e-05,1,False,next household batch actually entered,ENABLED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
5,31,True,0.1217541953566762,西藏,0.1217541953566762,7515.575027092075,1,False,next household batch actually entered,CLOSED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
6,31,True,0.08717418821744105,海南,0.08717418821744105,0.029187862467365933,1,False,next household batch actually entered,ENABLED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
7,31,True,0.08941476241411839,海南,0.08941476241411839,0.22777194517765764,1,False,next household batch actually entered,ENABLED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
8,31,True,0.1517827595686938,海南,0.1517827595686938,0.028545147224829703,1,False,next household batch actually entered,CLOSED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
9,31,True,0.05302525856242446,海南,0.05302525856242446,0.002087412989546955,1,False,next household batch actually entered,ENABLED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
10,31,True,0.11437413558448584,甘肃,0.11437413558448584,0.004090593806841181,1,False,next household batch actually entered,CLOSED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
11,31,True,0.045388499860329556,吉林,0.045388499860329556,0.0006446458269199207,1,False,next household batch actually entered,ENABLED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
12,31,True,0.12327685575168079,贵州,0.12327685575168079,0.0020963386091930047,1,False,next household batch actually entered,CLOSED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
13,31,True,0.046260800192606144,贵州,0.046260800192606144,0.00013678526309457428,1,False,next household batch actually entered,ENABLED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
14,31,True,0.12116268152957499,贵州,0.12116268152957499,0.0008816288519732929,1,False,next household batch actually entered,CLOSED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
15,31,True,0.04250939823869704,贵州,0.04250939823869704,0.0006345616138965227,1,False,next household batch actually entered,ENABLED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
16,31,True,0.12000731417578381,贵州,0.12000731417578381,0.0006812263839353072,1,False,next household batch actually entered,CLOSED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
17,31,True,0.04483860609090007,贵州,0.04483860609090007,0.000234828729650971,1,False,next household batch actually entered,ENABLED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
18,31,True,0.11978897055080262,贵州,0.11978897055080262,0.0007111187817823161,1,False,next household batch actually entered,CLOSED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
19,31,True,0.04630688166053876,贵州,0.04630688166053876,0.0003444362281926905,1,False,next household batch actually entered,ENABLED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
20,31,True,0.12158758987451845,贵州,0.12158758987451845,0.00023206445762558037,1,False,next household batch actually entered,CLOSED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
21,31,True,0.043503890509719145,山西,0.043503890509719145,0.0003826482536357645,1,False,next household batch actually entered,ENABLED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
22,31,True,0.11947876361194498,贵州,0.11947876361194498,0.07109255794363889,1,False,next household batch actually entered,CLOSED,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
23,12,False,,,0.04119714883809067,,1,False,next household batch actually entered,UNKNOWN_GATE,DERIVED_EXPECTATION_FROM_CAPTURED_KT_LT_HISTORY,False,
24,0,,,,,,,False,,INTERRUPTED_BEFORE_CONTROLLER,,False,"exception inside household call725 before batch/one-turn returned; 12 entries, no complete 24th turn"
