entry_step,observed,phase,rah_exact_upper,rah_exact_lower,rah_below_firm_reference,rah_above_0p07,ra_native_postfirm_observed,wjt_native_postfirm_observed
1,31,initialization,31,0,0,31,0,0
2,31,household_entry_old_state,1,0,0,29,0,0
3,31,household_entry_old_state,0,1,30,0,0,0
4,31,household_entry_old_state,0,1,30,0,0,0
5,31,household_entry_old_state,0,1,30,0,0,0
6,31,household_entry_old_state,0,1,30,0,0,0
7,31,household_entry_old_state,1,0,0,29,0,0
8,31,household_entry_old_state,1,0,0,29,0,0
9,31,household_entry_old_state,1,0,0,29,0,0
10,31,household_entry_old_state,1,0,0,29,0,0
11,31,household_entry_old_state,1,0,0,29,0,0
12,31,household_entry_old_state,1,0,0,29,0,0
13,31,household_entry_old_state,1,0,0,29,0,0
14,31,household_entry_old_state,1,0,0,29,0,0
15,31,household_entry_old_state,1,0,0,29,0,0
16,31,household_entry_old_state,1,0,0,29,0,0
17,31,household_entry_old_state,1,0,0,29,0,0
18,31,household_entry_old_state,1,0,0,29,0,0
19,31,household_entry_old_state,1,0,0,29,0,0
20,31,household_entry_old_state,1,0,0,27,0,0
21,31,household_entry_old_state,1,0,0,27,0,0
22,31,household_entry_old_state,1,0,0,26,0,0
23,31,household_entry_old_state,1,0,0,26,0,0
24,12,household_entry_old_state,1,0,0,10,0,0
