step,index_0,index_1,name,mt,ra0,wt0,ra,wjt,rk,divrate,Zt_used,Zt_after,GovInv_used,GovInv_after,Zt_changed,GovInv_ratio,Yt,Kt,Lt_supply,Y_over_K,Kt_supply_derived,alpha,N,Kt0,Zt_init,production_identity_pass,nk_gap,yt_gap,Y_over_target,z_reset_candidate,provenance,raw_price_gap,gate,expected_gov_multiplier,inferred_ra_trigger,captured_action_class,enabled_action_is_source_multiplier,gov_expectation_matches,zt_expectation_matches,action_evidence
1,0,1,北京,,,,,,,,0.0016341152925786636,0.0016341152925786636,49270438.3129602,49270438.3129602,False,1.0,40914.71454737012,49367001.59459932,2485119.9997324906,0.0008287867041908036,96563.28163912147,0.772866243094144,123780.0,49270438.3129602,0.0016341152925786636,True,5.621679114075431,0.9986505692105545,0.0013494307894454454,1.2109663610463566,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,1,2,天津,,,,,,,,0.0006331796953290661,0.0006331796953290661,51336802.8150781,51336802.8150781,False,1.0,16416.635594823827,51432692.438448064,2520677.283555772,0.00031918678211276594,95889.62336996198,0.772866243094144,89700.0,51336802.8150781,0.0006331796953290661,True,5.8014382184742255,0.9987714784197748,0.0012285215802252671,0.5153997337295154,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,2,3,河北,,,,,,,,0.00020325561576148244,0.00020325561576148244,90356776.0949341,90356776.0949341,False,1.0,8194.783732377882,90452862.77359664,2578678.1315924386,9.059728438766401e-05,96086.67866253853,0.772866243094144,419600.0,90356776.0949341,0.00020325561576148244,True,10.692407008255081,0.9997478109060466,0.0002521890939533917,0.8059651294795767,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,3,4,山西,,,,,,,,0.0006904139506587265,0.0006904139506587265,37758335.6649879,37758335.6649879,False,1.0,14183.552064948035,37856863.89001002,2566643.486941443,0.0003746626267341418,98528.22502212226,0.772866243094144,178900.0,37758335.6649879,0.0006904139506587265,True,3.9165202312693603,0.9991112021229963,0.000888797877003636,0.7767952292891245,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,4,5,内蒙古,,,,,,,,0.0006509396292199082,0.0006509396292199082,56986309.349860296,56986309.349860296,False,1.0,18281.14885075326,57082133.75428878,2513658.366548129,0.00032026043261530556,95824.40442848206,0.772866243094144,130400.0,56986309.349860296,0.0006509396292199082,True,6.569595841389348,0.9988673923129547,0.0011326076870452977,0.5747264800206803,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,5,6,辽宁,,,,,,,,0.0002864698302222306,0.0002864698302222306,67054545.412681095,67054545.412681095,False,1.0,9117.211155702276,67150561.0190419,2508441.533282962,0.00013577267289124968,96015.60636080056,0.772866243094144,226100.0,67054545.412681095,0.0002864698302222306,True,7.923277677668592,0.999612206837128,0.0003877931628720051,0.7387181045189875,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,6,7,吉林,,,,,,,,0.00047331941528535383,0.00047331941528535383,52390313.5226049,52390313.5226049,False,1.0,12451.336014486518,52486856.28620974,2507792.946982281,0.00023722769652252825,96542.76360484213,0.772866243094144,147424.0,52390313.5226049,0.00047331941528535383,True,5.976500505403778,0.9988935892809203,0.0011064107190797178,0.4277972068808661,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,7,8,黑龙江,,,,,,,,0.0005703841154289705,0.0005703841154289705,44224774.7160286,44224774.7160286,False,1.0,13113.665753064875,44322405.72187826,2463557.4208073365,0.00029586990009867076,97631.00584965944,0.772866243094144,163500.0,44224774.7160286,0.0005703841154289705,True,4.997073628502814,0.9989792032263212,0.0010207967736788133,0.5587636345806457,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,8,9,上海,,,,,,,,0.0015030642394494576,0.0015030642394494576,54021103.923275396,54021103.923275396,False,1.0,40420.705610919125,54117341.58537002,2489971.4373536343,0.0007469085588240791,96237.66209462285,0.772866243094144,137600.0,54021103.923275396,0.0015030642394494576,True,6.244707144497268,0.9988775711527238,0.0011224288472762311,1.3391176136437557,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,9,10,江苏,,,,,,,,0.0001820044285805966,0.0001820044285805966,149374736.001046,149374736.001046,False,1.0,10760.952332049852,149465416.10641217,2519183.3026875304,7.199626918636865e-05,90680.1053661704,0.772866243094144,488700.0,149374736.001046,0.0001820044285805966,True,18.776967128851982,0.9998837852384455,0.00011621476155456806,1.5661042207201645,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
