index_0,index_1,province,captured_price_fields,derived_price_fields,missing_path_fields,entry_rows,last_entry,annual_owner_A,annual_runtime_cache,terminal_2018_owner_A,ra_upper_observed,ra_upper_contacts,ra_upper_first,ra_upper_last,ra_upper_longest_confirmed,ra_upper_frequency,wjt_upper_observed,wjt_upper_contacts,wjt_upper_first,wjt_upper_last,wjt_upper_longest_confirmed,wjt_upper_frequency,rah_upper_observed,rah_upper_contacts,rah_upper_first,rah_upper_last,rah_upper_longest_confirmed,rah_upper_frequency
0,1,北京,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",24,24,13,15,MISSING,0,0,,,0,,0,0,,,0,,23,0,,,0,0.0
1,2,天津,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",24,24,13,15,MISSING,0,0,,,0,,0,0,,,0,,23,0,,,0,0.0
2,3,河北,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",24,24,13,15,MISSING,0,0,,,0,,0,0,,,0,,23,0,,,0,0.0
3,4,山西,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",24,24,13,15,MISSING,0,0,,,0,,0,0,,,0,,23,0,,,0,0.0
4,5,内蒙古,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",24,24,13,15,MISSING,0,0,,,0,,0,0,,,0,,23,0,,,0,0.0
5,6,辽宁,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",24,24,13,15,MISSING,0,0,,,0,,0,0,,,0,,23,0,,,0,0.0
6,7,吉林,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",24,24,13,15,MISSING,0,0,,,0,,0,0,,,0,,23,0,,,0,0.0
7,8,黑龙江,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",24,24,13,15,MISSING,0,0,,,0,,0,0,,,0,,23,0,,,0,0.0
8,9,上海,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",24,24,13,15,MISSING,0,0,,,0,,0,0,,,0,,23,0,,,0,0.0
9,10,江苏,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",24,24,13,15,MISSING,0,0,,,0,,0,0,,,0,,23,0,,,0,0.0
10,11,浙江,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",24,24,13,15,MISSING,0,0,,,0,,0,0,,,0,,23,0,,,0,0.0
11,12,安徽,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",24,24,13,15,MISSING,0,0,,,0,,0,0,,,0,,23,19,2,24,18,0.8260869565217391
12,13,福建,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",23,23,13,15,MISSING,0,0,,,0,,0,0,,,0,,22,0,,,0,0.0
13,14,江西,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",23,23,13,15,MISSING,0,0,,,0,,0,0,,,0,,22,0,,,0,0.0
14,15,山东,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",23,23,13,15,MISSING,0,0,,,0,,0,0,,,0,,22,0,,,0,0.0
15,16,河南,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",23,23,13,15,MISSING,0,0,,,0,,0,0,,,0,,22,0,,,0,0.0
16,17,湖北,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",23,23,13,15,MISSING,0,0,,,0,,0,0,,,0,,22,0,,,0,0.0
17,18,湖南,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",23,23,13,15,MISSING,0,0,,,0,,0,0,,,0,,22,0,,,0,0.0
18,19,广东,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",23,23,13,15,MISSING,0,0,,,0,,0,0,,,0,,22,0,,,0,0.0
19,20,广西,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",23,23,13,15,MISSING,0,0,,,0,,0,0,,,0,,22,0,,,0,0.0
20,21,海南,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",23,23,13,15,MISSING,0,0,,,0,,0,0,,,0,,22,0,,,0,0.0
